trip_id,user_id,sex,age,date,station_code_origin,station_code_destination,duration_m
32244777,2502753,M,20,2024-01,GDL-089,GDL-113,6
32244776,2524073,M,54,2024-01,ZPN-056,GDL-239,21
32244775,2316352,M,24,2024-01,GDL-267,GDL-009,10
32244774,1736121,F,34,2024-01,GDL-046,GDL-028,7
32244773,3345056,F,26,2024-01,GDL-048,GDL-035,6
32244772,1766341,M,37,2024-01,GDL-198,GDL-242,17
32244771,1627144,F,27,2024-01,GDL-198,GDL-242,17
32244770,2372401,M,25,2024-01,GDL-048,GDL-035,7
32244769,2507224,M,27,2024-01,GDL-109,GDL-101,3
32244768,3345642,M,26,2024-01,GDL-020,GDL-020,15
32244767,3345667,F,26,2024-01,GDL-020,GDL-020,15
32244766,1024463,M,36,2024-01,GDL-059,GDL-088,23
32244765,1442326,M,24,2024-01,GDL-039,GDL-024,14
32244764,2616000,F,23,2024-01,GDL-066,GDL-064,2
32244763,121473,M,37,2024-01,GDL-013,GDL-142,11
32244762,37722,M,30,2024-01,GDL-033,GDL-152,38
32244761,1066076,M,57,2024-01,GDL-052,GDL-022,18
32244760,1627706,M,29,2024-01,GDL-063,GDL-081,8
32244759,24153,M,35,2024-01,GDL-093,GDL-102,5
32244758,2665652,M,29,2024-01,GDL-062,GDL-231,16
32244757,220325,M,33,2024-01,GDL-013,GDL-072,7
32244756,2724031,M,23,2024-01,GDL-062,GDL-231,17
32244755,777334,F,42,2024-01,GDL-086,GDL-112,20
32244754,3261,M,43,2024-01,GDL-204,GDL-196,18
32244753,1565052,F,24,2024-01,GDL-077,GDL-012,21
32244752,152460,M,28,2024-01,GDL-195,GDL-105,7
32244751,2533561,F,26,2024-01,GDL-042,GDL-037,8
32244750,415104,M,30,2024-01,GDL-063,GDL-109,15
32244749,752650,M,37,2024-01,GDL-144,GDL-144,3
32244748,1473247,M,26,2024-01,GDL-014,GDL-196,9
32244747,55534,M,40,2024-01,GDL-093,GDL-102,7
32244746,2373666,F,30,2024-01,GDL-061,GDL-024,10
32244745,2433605,F,30,2024-01,ZPN-072,GDL-144,6
32244744,21566,M,64,2024-01,GDL-049,GDL-051,5
32244743,1441776,F,28,2024-01,GDL-061,GDL-024,11
32244742,2761674,M,21,2024-01,GDL-168,GDL-172,6
32244741,2463632,M,24,2024-01,GDL-237,GDL-055,7
32244740,2370534,M,42,2024-01,GDL-111,GDL-253,9
32244739,104335,M,38,2024-01,GDL-144,ZPN-042,13
32244738,616437,M,57,2024-01,ZPN-048,ZPN-015,8
32244737,365241,M,32,2024-01,GDL-140,GDL-187,16
32244736,1422325,M,30,2024-01,GDL-052,GDL-074,4
32244735,471026,M,27,2024-01,ZPN-027,GDL-200,21
32244734,2652455,M,27,2024-01,GDL-035,GDL-069,9
32244733,2007624,M,34,2024-01,GDL-040,GDL-132,9
32244731,1110720,F,29,2024-01,GDL-090,GDL-018,24
32244730,143165,M,35,2024-01,TLQ-003,TLQ-003,7
32244729,434112,M,50,2024-01,ZPN-027,ZPN-003,8
32244727,1374013,M,38,2024-01,GDL-170,GDL-273,11
32244726,325606,M,49,2024-01,ZPN-027,ZPN-069,6
32244725,440033,F,36,2024-01,ZPN-049,GDL-192,10
32244724,2507224,M,27,2024-01,GDL-087,GDL-109,5
32244723,502477,M,47,2024-01,GDL-003,GDL-046,6
32244722,46500,M,43,2024-01,GDL-132,GDL-016,21
32244721,2763420,F,25,2024-01,GDL-087,GDL-120,10
32244720,1210501,M,41,2024-01,GDL-128,ZPN-033,36
32244719,2076066,M,25,2024-01,GDL-133,GDL-071,9
32244718,2246172,M,32,2024-01,GDL-003,GDL-081,4
32244717,135724,M,35,2024-01,GDL-048,GDL-054,8
32244715,472005,M,44,2024-01,GDL-042,GDL-135,6
32244714,3345243,M,20,2024-01,GDL-046,GDL-007,9
32244713,516133,M,31,2024-01,GDL-104,GDL-073,10
32244712,2763500,M,22,2024-01,GDL-087,GDL-120,13
32244711,441353,M,61,2024-01,GDL-014,GDL-014,10
32244710,1633720,F,26,2024-01,GDL-003,GDL-071,8
32244708,2436054,M,26,2024-01,GDL-040,GDL-047,3
32244706,1061537,M,35,2024-01,GDL-097,GDL-077,10
32244705,206244,F,30,2024-01,GDL-168,GDL-163,7
32244704,20615,M,55,2024-01,GDL-065,GDL-015,10
32244703,226363,M,36,2024-01,GDL-212,GDL-214,4
32244702,442062,M,45,2024-01,GDL-267,GDL-019,14
32244701,77671,M,27,2024-01,GDL-007,GDL-068,15
32244700,2643660,M,25,2024-01,GDL-009,GDL-092,6
32244699,2766051,F,25,2024-01,GDL-007,GDL-068,16
32244697,2713774,M,26,2024-01,GDL-050,GDL-047,5
32244696,365241,M,32,2024-01,GDL-150,GDL-140,13
32244695,632203,M,39,2024-01,GDL-198,GDL-092,7
32244694,262430,M,39,2024-01,GDL-019,GDL-083,22
32244693,711612,F,30,2024-01,ZPN-028,ZPN-003,10
32244692,1214235,M,55,2024-01,GDL-009,GDL-028,19
32244691,730474,M,31,2024-01,GDL-179,GDL-106,10
32244689,203610,F,54,2024-01,(GDL-235),GDL-234,3
32244688,1766341,M,37,2024-01,GDL-048,GDL-198,24
